Rank,Song,Artist,Year,Lyrics,Source,Label,Ownership
90,have you forgotten,darryl worley,2003,i hear people saying we dont need this war i say theres some things worth fighting for what about our freedom and this piece of ground we didnt get to keep em by backing down they say we dont realize the mess were getting in before you start your preaching let me ask you this my friendhave you forgotten how it felt that day to see your homeland under fire and her people blown away have you forgotten when those towers fell we had neighbors still inside going thru a living hell and you say we shouldnt worry bout bin laden have you forgottenthey took all the footage off my tv said its too disturbing for you and me itll just breed anger thats what the experts say if it was up to me id show it everyday some say this countrys just out looking for a fight after 911 man id have to say thats righthave you forgotten how it felt that day to see your homeland under fire and her people blown away have you forgotten when those towers fell we had neighbors still inside going thru a living hell and you say we shouldnt worry bout bin laden have you forgottenive been there with the soldiers whove gone away to war and you can bet that they remember just what theyre fighting forhave you forgotten how it felt that day to see your homeland under fire and her people blown away have you forgotten when those towers fell we had neighbors still inside going thru a living hell and you say we shouldnt worry bout bin laden have you forgottenhave you forgotten all the people killed some went down like heros in that pennsylvania field have you forgotten about our pentagon all the loved ones that we lost and those left to carry on dont you tell me not to worry about bin laden have you forgottenhave you forgotten have you forgotten,1,Sad,Suresh
91,no shoes no shirt no problems,kenny chesney,2003,ive been up to my neck workin six days a week wearin holes in the soles of the shoes on my feet been dreamin of gettin away since i dont know aint no better time than now for mexico and no shoes no shirt no problems blues what blues hey i forgot them the sun and the sand and a drink in my hand with no bottom and no shoes no shirt and no problems no problems want a towel on a chair in the sand by the sea want to look thru my shades and see you there with me want to soak up life for a while in laid back mode no boss no clocks no stress no dress code and no shoes no shirt no problems blues what blues hey i forgot them the sun and the sand and a drink in my hand with no bottom and no shoes no shirt and no problems,1,Happy,Suresh
92,come over,aaliyah,2003,i just touched down touched down quarter after two flight 102 i know its late real late but im calling you calling youtryin to figure if i i can can come come see see you can i come see youi know youre sleep youre sleep but youre on my mind my mind and im wide awake awakeand i wanna stop by come on over so can you get up and get out of the bed cuz i wanna see you and i been wonderingcan i come over can i come over stop by come over to see you come over tonightcan i come over can i come over get wit ya come over just wanna come over be wit ya babycan i come over can i come over stop by come over to see you come over tonightcan i come over can i come over get wit ya come over just wanna yeah yeah be wit ya babyso tell me what the deal youre not that far i just got my bags and im headed to the car say yes or no cuz im on the roadum wait a minute my batterys low lemme aightbaby i wanna come see you said i really wanna come see you dont you worry about a thing im just wantin to hold youembrace you i want to look at you and tell you how much i love you i want you i need you i miss youcan i come over can i come over stop by come over to see you come over tonightcan i come over can i come over get wit ya come over just wanna come over be wit ya babycan i come over can i come over stop by come over to see you come over tonightcan i come over can i come over get wit ya come over just wanna yeah yeah be wit ya babycan i come over can i come on over stop by come over to see you come over tonightcan i come over can i come over get wit ya come over i just wanna yeah be wit ya babycan i come over can i come over stop by come over to see you come over tonightcan i come over can i baby get wit ya can i come over i just wanna over be wit ya baby,1,Romantic,Suresh
93,sick of being lonely,field mob,2003,im so sick of bein lonely every night while my man goes out with his homies i wanna know how it feels to be loved be loved sick of being lonely every night while my man goes out with his homies i wanna know how it feels to be loved be loved any other night youd be at home waitin on me yeah whats goin on any other night youd be actin like a bugaboo ooh whats goin on any other night youd be callin me stallin me ha whats goin on any other night i can guarantee a page from you ooh whats goin on hmmm but tonight seem different man its about this fishy im so confused cuz i aint even get shhh my wife aint hit me on my pager or cell and when i call her i keep gettin the damn voice mail whats goin on yeah i know im wrong for goin and comin home at bout four in the mornin hopin ya home alone like caulkin but i picked the wrong time and respect will be expected im so sick of bein lonely every night while my man goes out with his homies i wanna know how it feels to be loved be loved sick of bein lonely every night while my man goes out with his homies i wanna know how it feels to be loved be loved im so sick of bein lon ahh dont finish yo statement you alone call me ill be yo replacement put me in the game coach you can let that lame go let me lick you on your neck and go down to yo ankles cuz aint no mo better freakier feller from the field to creep wit when ya guys are dummy honey you lookin good and mo gooder than a plate of neck bones tenderized and yummy the energizer bunny cant compete with me cuz i be goin and goin growin put mo motion in ya ocean from night to mornin heavy huffin and puffin breath stankin and yawnin somethin so pretty as you at home alone thats unbelieveable like when the cow jumped over the moon now i never put nuttin before you thats like eatin cereal and pickin a fork over a spoon im so sick of bein lonely every night while my man goes out with his homies i wanna know how it feels to be loved be loved sick of bein lonely every night while my man goes out with his homies i wanna know how it feels to be loved be loved im so sick of bein lonely every night while my man goes out with his homies i wanna know how it feels to be loved be loved sick of bein lonely every night while my man goes out with his homies i wanna know how it feels to be loved be loved this is a jazzi fizle purductshisle my nizzle jazzie faith field mob torika its a beautiful daddy oowwee oh boy,3,Sad,Suresh
94,step in the name of love,r kelly,2003,many lovers has come and many lovers have gone similar to an old fashion song a thousand years from now well be still putting it down my baby you can change the frame but the picture remains the same similar to the sun after the rain a thousand years from now well be still putting it down my baby baby girl in other words for ever more ill be here ill be here cause my whole lifes been full of joy every since you came here girl my whole world goes around because you spin me yeah spin me and every time were done making love girl you makes me wanna snap in the name of love snap in the name of love snap my fingers clap in the name of love clap in the name of love clap my hands yeah step in the name of love step in the name of love step from side to side groove in the name of love groove in the name of love groove and its alright some believes in love and some people dont similar to a story when its told a thousand years from now well be still putting it down my baby some have crossed the finish line and some gave up its like moving a mountain love can be just that tough yeah a thousand years from now well be still putting it down my baby baby girl in other words for ever more ill be here ill be here cause my whole lifes been full of joy every since you came here girl my whole world goes around because you spin me yeah spin me and every time were done making love girl you makes me wanna snap in the name of love snap in the name of love snap my fingers clap in the name of love clap in the name of love clap both my hands step in the name of love step from side to side step in the name of love groove in the name of love groove in the name of love groove and its alright snap in the name of love woo snap in the name of love woo clap in the name of love clap my hands clap in the name of love oh step in the name of love step step step step in the name of love uhhuh you got it groove in the name of love groove in the name groove in the name of love of love now we gonna play a little game and this game is for all of those who know how to follow the rules to this game alright listen when i sing i want everybody out there to do what ever i sing alright come on here we go step step side to side round and round dip it now separate bring it back let me see you do the love slide step step side to side round and round dip it now separate bring it back let me see you do the love slide see my whole my whole world goes around all because you spin me yeah spin me yeah and when were done making love baby hey i just wanna get to steppin go out on the town andsnap in the name of love snap snap in the name of love in the name of love clap in the name of love yeah baby clap in the name of love step in the name of love i wanna step woo step in the name of love in the name of love groove in the name of love groove in the name of love listen love brought us together so keep on steppin because loves gonna last forever clap in the name of love lets step out hit the club d js rockin that song for us if anybody ask why were steppin tell them that we did it for love dedicated to uncle henry love thank you,1,Romantic,Suresh
95,i want you,thal'ia featuring fat joe,2003,no one else can ever no one else can ever no one else can ever yeah uh yeah uh what did i do to deserve such a man so special in my life so many days and nights i get on the go while i sit and wait for mister right baby then came you laidback with your sexy smile when you move your body you just drive me wild if youre feeling me baby tell me now because i want you i want you baby no one else can ever want you like i do im feelin love in the deepest fall give you the keys and all you even when helped me when the beef was on tell me what you feel cause im feeling something real i feel the same way you make the don say girl i want you girl i need you cant you see how this love affair would be good for you and me cause baby i swear no other man can do the things that you do when you love me oh baby youre my lifetime fantasy so smooth love the way you walk i just love to hear when you talk your talk so if youre feeling me baby let me know because i want you i want you baby no one else can ever want you like i do im feelin love in the deepest fall give you the keys and all you even when helped me when the beef was ontell me what you feel cause im feeling something real i feel the same way you make the don say girl i want you girl i need you babe slow down love dont you see me with my girl what you thinkin it was i know youre used to seein me in the clubs different chicks sippin cris just a million in dubs but ive changed only got eyes for her believe me aint no girl dividin us we could maybe elope have a baby and all cause i dont wanna be a player no more baby no one else can ever want you like i do i feel the same way you make the don say girl i want you girl i need you tell me what you feel cause im feeling something real i feel the same way you make the don say girl i want you girl i need you baby no one else can ever want you like i do i feel the same way you make the don say girl i want you girl i need you tell me what you feel cause im feeling something real i feel the same way you make the don say girl i want you girl i need you baby baby baby baby baby baby baby baby,1,Romantic,Suresh
96,like a stone,audioslave,2003,on a cobweb afternoon in a room full of emptiness by a freeway i confess i was lost in the pages of a book full of death reading how well die alone and if were good well lay to rest anywhere we want to goin your house i long to be room by room patiently ill wait for you there like a stone ill wait for you there alone meaning by betsy only a junkie can truly understand the meaning and depth of this songs lyrics see all on my deathbed i will pray to the gods and the angels like a pagan to anyone who will take me to heaven to a place i recall i was there so long ago the sky was bruised the wine was bled and there you led me on in your house i long to be room by room patiently ill wait for you there like a stone ill wait for you there alone alone and on i read until the day was gone and i sat in regret of all the things ive done for all that ive blessed and all that ive wronged in dreams until my death i will wander on in your house i long to be room by room patiently ill wait for you there like a stone ill wait for you there alone alone,1,Sad,Suresh
97,dont know why,norah jones,2003,i waited til i saw the sun i dont know why i didnt come i left you by the house of fun i dont know why i didnt come i dont know why i didnt come when i saw the break of day i wished that i could fly away instead of kneeling in the sand catching teardrops in my handmy heart is drenched in wine but youll be on my mind forever out across the endless sea i would die in ecstasy but ill be a bag of bones driving down the road alone my heart is drenched in wine but youll be on my mind forever something has to make you run i dont know why i didnt come i feel as empty as a drum i dont know why i didnt come i dont know why i didnt come,1,Sad,Suresh
98,superman,eminem,2003,mm you high baby yeah yeah ha ha ha talk to me you want me to tell you somethin uh huh i know what you wanna hear cause i know you want me baby i think i want you too i think i love you baby i think i love you too im here to save you girl come be in shadys world i wanna grow together lets let our love unfurl you know you want me baby you know i want you too they call me superman im here to rescue you i wanna save you girl come be in shadys world oh boy you drive me crazy bitch you make me hurl they call me superman leap tall hoes in a single bound im single now got no ring on this finger no will never let another chick bring me down in a relationship save it bitch babysit you make me sick superman aint savin shit girl you can jump on shadys dick straight from the hip cut to the chase ill tell the motherfucking slut to her face play new games say new names ever since i broke up with whats her face im a different man kiss my ass kiss my lips bitch why ask kiss my dick hit my cash id rather have you whip my ass dont put out ill put you out wont get out ill push you out puss blew out poppin shit wouldnt piss on fire to put you out am i too nice buy you ice bitch if you died wouldnt buy you life what you tryin to be my new wife what you mariah fly through twice but i do know one thing though bitches they come they go saturday through sunday monday monday through sunday yo maybe ill love you one day maybe well someday grow til then just sit your drunk ass on that fuckin runway hoecause i cant be your superman cant be your superman cant be your superman cant be your superman i cant be your superman cant be your superman cant be your superman your superman your superman dont get me wrong i love these hoes its no secret everybody knows yeah we fucked bitch so what thats about as far as your buddy goes well be friends ill call you again ill chase you around every bar you attend never know what kind of car ill be in well see how much youll be partying then you dont want that neither do i i dont wanna flip when i see you with guys too much pride between you and i not a jealous man but females lie but i guess thats just what sluts do how could it ever be just us two never loved you enough to trust you we just met and i just fucked you but i do know one thing though bitches they come they go saturday through sunday monday monday through sunday yo maybe ill love you one day maybe well someday grow till then just sit your drunk ass on that fuckin runway hoe i know you want me baby i think i want you too i think i love you baby i think i love you too im here to save you girl come be in shadys world i wanna grow together lets let our love unfurl you know you want me baby you know i want you too they call me superman im here to rescue you i wanna save you girl come be in shadys world oh boy you drive me crazy bitch you make me hurl first thing you said im not phased i hang around big stars all day i dont see what the big deal is anyway youre just plain ol marshall to me ooh yeah girl run that game hailie jade i love that name love that tattoo whats that say rot in pieces aw thats great first off you dont know marshall at all so dont grow partial thats ammo for my arsenal ill slap you off that bar stool there goes another lawsuit leave hand prints all across you good lordywody you must be gone off that water bottle you want what you cant have ooh girl thats too damn bad dont touch what you cant grab end up with two back hands put anthrax on a tampax and slap you till you cant stand girl you just blew your chance dont mean to ruin your plans but i do know one thing though bitches they come they go saturday through sunday monday monday through sunday yo maybe ill love you one day maybe well someday grow til then just sit your drunk ass on that fuckin runway hoe i know you want me baby i think i want you too i think i love you baby i think i love you too im here to save you girl come be in shadys world i wanna grow together lets let our love unfurl you know you want me baby you know i want you too they call me superman im here to rescue you i wanna save you girl come be in shadys world oh boy you drive me crazy bitch you make me hurlcause i cant be your superman cant be your superman cant be your superman cant be your superman i cant be your superman cant be your superman cant be your superman your superman your supermancause i cant be your superman cant be your superman cant be your superman cant be your superman i cant be your superman cant be your superman cant be your superman your superman your superman,1,Party,Suresh
99,real good man,tim mcgraw,2003,girl youve never known no one like me up there in your high society they might tell you im no good girl they need to understand just who i am i may be a real bad boy but baby im a real good man i may drink too much and play too loud hang out with a rough and rowdy crowd that dont mean i dont respect my mama or my uncle sam yes sir yes maam i may be a real bad boy but baby im a real good man i might have a reckless streak at least a country mile wide if youre gonna run with me its gonna be a wild ride when it comes to lovin you ive got velvet hands ill show you how a real bad boy can be a real good man here we goill take all the good times i can get im too young for growing up just yet aint much i can promise you except to do the best i can ill be damned i may be a real bad boy but baby im a real good man i may be a real bad boy oh but baby im a real good man yes i am,1,Romantic,Suresh
100,say yes,floetry,2003,see ive been watching you for a while your smile and stuff and i dont know if i can be with you for tonight alright is that alright baby baby there is only one for me you have made that a possibility we could take that step to see if this is really gonna be all you gotta do is say yes all you gotta do is say yes dont deny what you feel let me undress you babe open up your mind and just rest im about to let you know you make me so all you gotta do is say yes dont deny what you feel let me undress you babe open up your mind and just rest im about to let you know you make me so so so so so so so so you make me so so so so so so so so loving you has taken time take time but i always knew you could be mine i recognize the butterflies inside me sense is gonna be made tonight tonight all you gotta do is say yes all you gotta do is say yes dont deny what you feel let me undress you babe open up your mind and just rest im about to let you know you make me so dont deny what you feel let me undress you babe open up your mind and just rest im about to let you know you make me so so so so so so so so you make me so so so so so so so so you make me so so so so so so so so you make me so so so so so so so so so soall you gotta do all you gotta do is say yes dont deny what you feel let me undress you baby open up your mind and just rest im about to let you know you make me so all you gotta do is say yes,1,Romantic,Suresh
1,yeah,usher featuring lil jon and ludacris,2004,peace up atown down yeah ok lil jon yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah im in the club with my homies tryna get a lil vi keep it down on the low key cause you know how it feels i said shawty she was checkin up on me from the game she was spittin my ear youd think that she knew me so we decided to chill conversation got heavy she had me feelin like shes ready to blow watch out oh watch out she saying come get me come get me so i got up and followed her to the floor she said baby lets go when i told her i said yeah yeah shawty got down an said come and get me yeah yeah i got so caught up i forgot she told me yeah yeah her and my girl would be the best of homies yeah yeah next thing i knew she was all up on me screaming yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah shes all up in my head now got me thinking that it might good idea to take her with me cause shes ready to leave now i gotta keep it real now cause on a onetoten shes a certified twenty and that just aint me cause i do know if i take that chance just where is it gonna lead but what i do know is the way she dance makes shawty alright with me the way she getting low im like yeah just work that out for me she asked for one more dance and im like yeah how the hell am i supposed to leave and i said yeah yeah shawty got down an said come and get me yeah yeah i got so caught up i forgot she told me yeah yeah her and my girl would be the best of homies yeah yeah next thing i knew she was all up on me screaming yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah luda watch out my outfits ridiculous in the club lookin so conspicuous and rowl these women all on the prowl if you hold the head steady im a milk the cow forget about the game im a spit the truth i wont stop till i get em in they birthday suits so gimmie the rhythm and itll be off with they clothes then bend over to the front and touch your toes i left the jag and i took the rolls if they aint cutting then i put em on foot patrol how you like me now when my pinkys valued over three hundred thousand lets drank you the one to please ludacris fill cups like double ds me and ush once more and we leave em dead we want a lady in the street but a freak in the bed to say yeah yeah shawty got down an said come and get me yeah yeah i got so caught up i forgot she told me yeah yeah her and my girl would be the best of homies yeah yeah next thing i knew she was all up on me screaming yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah take that and rewind it back lil jon got the beat to make ya booty go take that and rewind it back usher got the voice make ya booty go take that and rewind it back ludacris got the flow make ya booty go take that and rewind it back lil jon got the beat make ya booty go,1,Party,Suresh
2,burn,usher,2004,girl understand why see its burning me to hold onto this i know this is something i gotta do but that dont mean i want to what im trying to say is that iloveyou i just i feel like this is coming to an end and its better for me to let it go now than hold on and hurt you i gotta let it burn its gonna burn for me to say this but its coming from my heart its been a long time coming but we done been fell apart really wanna work this out but i dont think ya gonna change ya i do but you dont think its best we go our separate ways tell me why i should stay in this relationship when im hurting baby i aint happy baby plus theres so many other things i gotta deal with i think that you should let it burn when your feeling aint the same and your body dont want to but you know gotta let it go cause the party aint jumpin like it used to even though this might bruise you let it burn let it burn gotta let it burn deep down you know its best for yourself but you hate the thought of her being with someone else but you know that its over you know that it was through let it burn let it burn gotta let it burn sendin pages i aint supposed to got somebody here but i want you cause the feeling aint the same find myself callin her your name ladies tell me do you understand now all my fellas do you feel my pain its the way i feel i know i made a mistake now its too late i know she aint coming back what i gotta do now to get my shorty back oh oh oh oh man i dont know what im gonna do without my boo youve been gone for too long its been fifty eleven days umteen hours imma be burnin till you return let it burn when your feeling aint the same and your body dont want to but you know gotta let it go cause the party aint jumpin like it used to even though this might bruise you let it burn let it burn gotta let it burn deep down you know its best for yourself but you hate the thought of her being with someone else but you know that its over you know that it was through let it burn let it burn gotta let it burnim twisted cause one side of me is tellin me that i need to move on on the other side i wanna break down and cry oh im twisted cause one side of me is tellin me that i need to move on on the other side i wanna break down and cry yeah oh oh oh oh oh oh oh oh oh can you feel me burnin oh oh oh oh oh ohso many days so many hours im still burnin till you return when your feeling aint the same and your body dont want to but you know gotta let it go cause the party aint jumpin like it used to even though this might bruise you let it burn let it burn gotta let it burn deep down you know its best for yourself but you hate the thought of her being with someone else but you know that its over you know that it was through let it burn let it burn gotta let it burn,1,Romantic,Suresh
3,if i aint got you,alicia keys,2004,some people live for the fortune some people live just for the fame some people live for the power yeah some people live just to play the gamesome people think that the physical things define whats within and ive been there before and that lifes a bore so full of the superficialsome people want it all but i dont want nothing at all if it aint you baby if i aint got you baby some people want diamond rings some just want everything but everything means nothing if i aint got you yeah some people search for a fountain that promises forever young some people need three dozen roses and thats the only way to prove you love them hand me the world on a silver platter and what good would it be with no one to share with no one who truly cares for mesome people want it all but i dont want nothing at all if it aint you baby if i aint got you baby some people want diamond rings some just want everything but everything means nothing if i aint got yousome people want it all but i dont want nothing at all if it aint you baby if i aint got you baby some people want diamond rings some just want everything but everything means nothing if i aint got you yeah if i aint got you with me baby so nothing in this whole wide world dont mean a thing if i aint got you with me baby,1,Romantic,Suresh
4,this love,maroon 5,2004,i was so high i did not recognize the fire burning in her eyes the chaos that controlled my mind whispered goodbye as she got on a plane never to return again but always in my heart ohthis love has taken its toll on me she said goodbye too many times before and her heart is breaking in front of me and i have no choice cause i wont say goodbye anymorewhoa oh oh whoa oh oh whoa oh ohi tried my best to feed her appetite keep her coming every night so hard to keep her satisfied oh kept playing love like it was just a game pretending to feel the same then turn around and leave againbut oh ohh this love has taken its toll on me she said goodbye too many times before and her heart is breaking in front of me and i have no choice cause i wont say goodbye anymorewhoa oh oh whoa oh oh whoa oh ohbridge ill fix these broken things repair your broken wings and make sure everythings alright its alright its alright my pressure on your hips sinking my fingertips into every inch of you because i know thats what you want me to dothis love has taken its toll on me she said goodbye too many times before her heart is breaking in front of me and i have no choice cause i wont say goodbye anymorethis love has taken its toll on me she said goodbye too many times before and my heart is breaking in front of me and she said goodbye too many times beforethis love has taken its toll on me she said goodbye too many times before her heart is breaking in front of me and i have no choice cause i wont say goodbye anymore,1,Betray,Suresh
5,the way you move,outkast featuring sleepy brown,2004,boom boom boom heh hehready for action nip it in the bud we never relaxin outkast is everlastin not clashin not at all but see my nigga want to do a little acting now thats for anyone askin give me one pass em drip drip drop there goes an eargasm now you cumin out the side of your face we tapping right into your memory banks thanks so click it our ticket lets see your seat belt fastened trunk rattlin like two midgets in the back seat grasping speakerbox vibrate the tank make it sound like aluminum cans in the back but i know yall wanted that 808 can you feel that bass bass but i know yall wanted that 808 can you feel that bass bassi like the way you move i like the way you move who i love the way you move i love the way i love the wayi like the way you move i like the way you move who i love the way you move i love the way i love the waythen the whole room fell silent the girls all pause with glee turning left turning right are they looking at me cause i was looking at them there there on the dance floor now they got me in the middle feeling like a man whore specially the big girl big girls need love too no discrimination here squirrel so keep your hands off my cheeks and let me study how you ride the beat you big freak skinny slim women got the camel toe within them you can fuck them lift them bend them give them something to remember yell out timber when they fall through the chop shop take a deep a breath and exhale your ex male friend boyfriend was boring as hell now let me listen to the stories you tell and we can make moves like a person in jail on the locoi like the way you move i like the way you move who i love the way you move i love the way i love the wayi like the way you move i like the way you move who i love the way you move i love the way i love the wayhey baby girl dont you stop come on baby dance on the top of me you so fine you so fine you so fine you drive me outta my mind my mind outta my mind oh baby if i could i would just be with you baby oh cause you like me and excite me and you know you gotta leave baby ohi like the way you move i like the way you move who i love the way you move i love the way i love the wayi like the way you move i like the way you move who i love the way you move i love the way i love the wayi like the way you move i like the way you move who i love the way you move i love the way i love the wayi like the way you move i like the way you move who i love the way you move i love the way i love the way,1,Party,Suresh
6,the reason,hoobastank,2004,im not a perfect person theres many thing i wish i didnt do but i continue learning i never meant to do those things to you and so i have to say before i go that i just want you to knowive found a reason for me to change who i used to be a reason to start over new and the reason is youim sorry that i hurt you its something i must live with everyday and all the pain i put you through i wish i could take it all away and be the one who catches all your tears thats why i need you to hearive found a reason for me to change who i used to be a reason to start over new and the reason is youand the reason is you and the reason is you and the reason is youim not a perfect person i never meant to do those things to you and so i have to say before i go that i just want you to knowive found a reason for me to change who i used to be a reason to start over new and the reason is youive found a reason to show a side of me you didnt know a reason for all that i do and the reason is you,1,Sad,Suresh
7,i dont wanna know,mario winans featuring enya and p diddy,2004,i just cant believe this man just another night of these thoughts cant get this outta my head yeahsomebody said they saw you the person you were kissing wasnt me and i would never ask you i just kept it to myselfi dont wanna know if youre playin me keep it on the low cuz my heart cant take it anymore and if youre creepin please dont let it show oh baby i dont wanna knowoh baby i think about it when i hold you when looking in your eyes i cant believe i dont need to know the truth baby keep it to yourselfi dont wanna know if youre playin me keep it on the low cuz my heart cant take it anymore and if youre creepin please dont let it show oh baby i dont wanna knowdid he touch you better than me did he watch you fall asleep did you show him all those things that you used to do to me if youre better off that way baby all that i can say if youre gonna do your thing then dont come back to mei dont wanna know your whereabouts or how you movin i know when you in the house or when you cruisin its been proven my love you abusin i cant understand how a man got you choosin yeah undecided i came and provided my undivided you came and denied it why dont even try it i know when you lyin i know when you lyin dont even do that i know why you cryin stop cryin im not applyin no pressure just wanna let you know that i dont wanna let you go i dont wanna let you go and i dont wanna let you leave cant say i didnt let you breathe gave you extra cheesecmon put you in the suv you wanted ice so i made you freeze made you hot like the west indies thats right now its time you invest in me cause if not then its best you leave holla yeahi dont wanna know if youre playin me keep it on the low cuz my heart cant take it anymore and if youre creepin please dont let it show oh baby i dont wanna knowi dont wanna know if youre playin me keep it on the low cuz my heart cant take it anymore and if youre creepin please dont let it show oh baby i dont wanna know,1,Betray,Suresh
8,hey ya,outkast,2004,one two three my baby dont mess around because she loves me so this i know fo shobut does she really wanna but cant stand to see me walk out the door dont try to fight the feeling because the thought alone is killin me right now thank god for mom and dad for sticking to together like we dont know howhey ya hey ya hey ya hey ya hey ya hey ya hey ya hey ya you think youve got it oh you think youve got it but got it just dont get it when theres nothin at all we get together oh we get together but separates always better when theres feelings involved know what they say its nothing lasts forever then what makes it then what makes it then what makes it then what makes it then what makes love the exception so why oh why oh why oh why oh why oh are we still in denial when we know were not happy here,1,Party,Suresh
9,goodies,ciara featuring petey pablo,2004,my goodies my goodies my goodies not my goodies i got a sick reputation for handling broads all i need is me a few seconds or more and in my rap tell valet to bring my lac and i aint coming back so you can put a car right there im the truth and aint got nothin to prove an you can ask anybody cause they seen me do it barricades i run right through em im used to em throw all the dirt you want its no use you still wont have a pinup in a fabulous room on her back pickin out baskets of fruit i love you boo yeah freak and petey love you too ha ha you know how i do you may look at me and think that im just a young girl but im not just a young girl baby this is what im lookin for i want a sexy independent i aint wit so you already know im not being too dramatic thats the way i gotta have it i bet you want the goodies bet you thought about it got you all hot and bothered mayb cause i talk about it looking for the goodies keep on lookin cause they stay in the jar just because you drive a benz im not going home with you you wont get no nookie or the cookies im no rookie and still im sexy independent i aint wit it so you already know im not being too dramatic thats the way i gotta have it you may talk slick trying hit but im not dumb im not being too dramatic its just how i gotta have it i bet you want the goodies bet you thought about it got you all hot and bothered mayb cause i talk about it looking for the goodies keep on lookin cause they stay in the jar so damn hot but so young you aint got milk on ya tongue slow down lil one you aint got it all hey shorty you dont play the game you think you bad but you aint bad ill show you what bad is bad is when you capable of beatin the bag i been workin at it since i came to this planet and i aint quite there yet but im gettin better at it matter of fact lemme tell it to you once more again all i got to do is tell a girl who i am aint no chick in here that i cant haveyoure insinuating that im hot but these goodies boy are not just for any of the many men thats trying to get on top no you cant call me later and i dont want your number im not changin stories just respect the play im calling i bet you want the goodies bet you thought about it got you all hot and bothered mayb cause i talk about it looking for the goodies keep on lookin cause they stay in the jari bet you want the goodies bet you thought about it got you all hot and bothered mayb cause i talk about it looking for the goodies keep on lookin cause they stay in the jar yeah yeah,1,Betray,Suresh
10,lean back,terror squad,2004,i dont give a fuck about your faults or mishappens nigga we from the bronx new york shit happens kids clappin love to spark the place half the niggas in the squad got a scar on their face its a cold world and this is ice half a mill for the charm nigga this is life got the phantom in front of the building trinity ave ten years been legit they still figure me bad as a youngn was too much to cope with why you think mufuckers nicknamed me cook coke shit shoulda been called armed robbery extortion or maybe grand larceny i did it all i put the pieces to the puzzle just as long i knew me and my peoples was gon bubble came out the gate on some flojo shit fat nigga with the shotty with the logo kid said my niggas dont dance we just pull up our pants and do the rock away now lean back lean back lean back lean back i said my niggas dont dance we just pull up our pants and do the rock away now lean back lean back lean back lean backr to the ezzy m to the yzzy my arms stay breezy the don stay flizzy got a date at 8 im in the 74fizzive and i just bought a bike so i can ride till i die with a matchin jacket bout to cop me a mansion my niggas in the club but you know they not dancin we gangsta and gangstas dont dance with boogies so never mind how we got in here with burners and hoodies listen we dont pay admission and the bouncers dont check us and we walk around the metal detectors and there really aint a need for a vip section in the middle of the dance floor reckless check it said he liked my necklace started relaxin now thats what the fuck i call a chain reaction see money aint a thing nigga we still the same niggas flows just changed now we bout to change the game nigga said my niggas dont dance we just pull up our pants and do the rock away now lean back lean back lean back lean back i said my niggas dont dance we just pull up our pants and do the rocka way now lean back lean back lean back lean back,1,Party,Suresh
11,tipsy,jkwon,2004,teen drinking is very bad yo i got a fake id though yeah yeah yeah yo two step wit me two step wit meone here comes the two to the three to the four everybody drunk out on the dance floor baby girl ass jiggle like she want more like she a groupie and i aint even on tour maybe cause she heard that i rhyme hardcore or maybe cause she heard that i buy out the stores bottom of the nineth and a nigga gotta score if not i gotta move on to the next whorehere comes the three to the two to the one homeboy trippin he dont know i got a gun when it come to pop we do shit for fun you aint got one nigga you better run now im in the back gettin head from a hun while she goin down im braggin on what i done she smokin my blunt sayin she aint havin fun bitch give it back now you dont get noneeverybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsytwo here comes the three to the four to the five now im lookin at shorty right in her eyes couple seconds pass now im lookin at her thighs why she tellin me how much she hate her guy say she got a kid but she got her tubes tied girl you 21 girl thats alright im wonderin if a shake comin wit those fries if so baby can i get them supersizedhere comes the four to the three to the two she stay feelin on my johnson right out the blue girl you super thick so im thinkin thats cool but instead of one life hat i need two her eyes got big when she glanced at my jewels expression on her face like she aint got a clue then she told me she dont run wit the crew you know how i do but thats just what i gotta doeverybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsythree then comes the four to the five to the six self explanatory i aint gotta say im rich yes single man i aint tryin to get hitched liquor wasted on me man son of a bitch brushed it off now im back to gettin lit wit some orange juice man this some good ish homeboy trippin cause im starin at his chick now he on the sideline starin at my clickhere comes the five to the four to the three hands in the air if you cats drunk as me club owner said kwon put out those trees dude i dont care im a pimpeverybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy everybody in the club gettin tipsy,1,Party,Suresh
